dataset,depth,num_features,num_classes,num_samples_train,run_idx,seed,test_acc,test_ce,val_acc,val_ce,n_leaves,tree_depth
breast,4,9,2,559,2,1318,0.9571428571428572,0.5790287408420032,0.8714285714285714,1.734524452761354,15,4
breast,4,9,2,559,3,1360,0.9571428571428572,0.5790287408420032,0.8714285714285714,1.734524452761354,15,4
breast,4,9,2,559,4,1402,0.9571428571428572,0.5790287408420032,0.8714285714285714,1.734524452761354,15,4
breast,4,9,2,559,5,1444,0.9571428571428572,0.5790287408420032,0.8714285714285714,1.734524452761354,15,4
breast,8,9,2,559,1,1276,0.9857142857142858,0.5149093341302452,0.9142857142857143,3.08945600478147,27,8
breast,8,9,2,559,2,1318,0.9857142857142858,0.5149093341302452,0.9142857142857143,3.08945600478147,27,8
breast,8,9,2,559,3,1360,0.9857142857142858,0.5149093341302452,0.9,3.6043653389117156,28,8
breast,8,9,2,559,4,1402,0.9857142857142858,0.5149093341302452,0.9142857142857143,3.08945600478147,28,8
breast,8,9,2,559,5,1444,0.9857142857142858,0.5149093341302452,0.9142857142857143,3.08945600478147,28,8
breast,9,9,2,559,1,1276,0.9571428571428572,1.5447280023907353,0.8857142857142857,4.119274673041961,28,8
breast,9,9,2,559,2,1318,0.9571428571428572,1.5447280023907353,0.9142857142857143,3.08945600478147,28,8
breast,9,9,2,559,3,1360,0.9714285714285714,1.0298186682604904,0.9142857142857143,3.08945600478147,29,8
breast,9,9,2,559,4,1402,0.9714285714285714,1.0298186682604904,0.8857142857142857,4.119274673041961,28,8
breast,9,9,2,559,5,1444,0.9714285714285714,1.0298186682604904,0.9,3.6043653389117156,28,8
heart,4,20,2,189,1,1276,0.5853658536585366,2.3925422726184213,0.65,1.4462914169421635,15,4
heart,4,20,2,189,2,1318,0.6097560975609756,2.375636243824276,0.65,1.4462914169421635,15,4
heart,4,20,2,189,3,1360,0.5853658536585366,2.3925422726184213,0.65,1.4462914169421635,15,4
