dataset,depth,approach,hidden_layers,hidden_size,run_idx,seed,test_acc,test_ce,val_acc,val_ce
sonar,12,ffnn_1h_16,1,16,1,1276,0.9047619104385376,0.6139760613441467,0.8095238208770752,0.6118056178092957
sonar,12,ffnn_1h_16,1,16,2,1318,0.8571428656578064,0.6136210560798645,0.8095238208770752,0.6102062463760376
sonar,12,ffnn_1h_16,1,16,3,1360,0.8571428656578064,0.6128230094909668,0.8095238208770752,0.6123793721199036
sonar,12,ffnn_1h_16,1,16,4,1402,0.8095238208770752,0.6184388995170593,0.761904776096344,0.6143558025360107
sonar,12,ffnn_1h_16,1,16,5,1444,0.8571428656578064,0.6169975996017456,0.761904776096344,0.6098063588142395
fico,4,ffnn_1h_4,1,4,1,1276,0.6261950135231018,0.6807303428649902,0.5994263887405396,0.6833760738372803
fico,4,ffnn_1h_4,1,4,2,1318,0.6233269572257996,0.6808788776397705,0.5975143313407898,0.6833763718605042
fico,4,ffnn_1h_4,1,4,3,1360,0.629063069820404,0.6808072328567505,0.5994263887405396,0.6833596229553223
fico,4,ffnn_1h_4,1,4,4,1402,0.6281070709228516,0.6806484460830688,0.5975143313407898,0.683353066444397
fico,4,ffnn_1h_4,1,4,5,1444,0.6309751272201538,0.6806619167327881,0.6013384461402893,0.6833362579345703
fico,4,ffnn_1h_8,1,8,1,1276,0.6261950135231018,0.6807303428649902,0.5994263887405396,0.6833760738372803
fico,4,ffnn_1h_8,1,8,2,1318,0.6233269572257996,0.6808788776397705,0.5975143313407898,0.6833763718605042
fico,4,ffnn_1h_8,1,8,3,1360,0.629063069820404,0.6808072328567505,0.5994263887405396,0.683359682559967
fico,4,ffnn_1h_8,1,8,4,1402,0.6281070709228516,0.6806484460830688,0.5975143313407898,0.683353066444397
fico,4,ffnn_1h_8,1,8,5,1444,0.6309751272201538,0.6806619167327881,0.6013384461402893,0.6833362579345703
fico,4,ffnn_1h_16,1,16,1,1276,0.6261950135231018,0.6807303428649902,0.5994263887405396,0.6833760738372803
fico,4,ffnn_1h_16,1,16,2,1318,0.6233269572257996,0.6808788776397705,0.5975143313407898,0.6833763718605042
fico,4,ffnn_1h_16,1,16,3,1360,0.629063069820404,0.6808072328567505,0.5994263887405396,0.6833596229553223
fico,4,ffnn_1h_16,1,16,4,1402,0.6281070709228516,0.6806484460830688,0.5975143313407898,0.683353066444397
fico,4,ffnn_1h_16,1,16,5,1444,0.6309751272201538,0.6806619167327881,0.6013384461402893,0.6833362579345703
fico,8,ffnn_1h_4,1,4,1,1276,0.7179732322692871,0.665309488773346,0.6978967189788818,0.6663649678230286
fico,8,ffnn_1h_4,1,4,2,1318,0.7237093448638916,0.6654202938079834,0.6988527774810791,0.6664965748786926
fico,8,ffnn_1h_4,1,4,3,1360,0.7246654033660889,0.6656007170677185,0.6978967189788818,0.666657567024231
fico,8,ffnn_1h_4,1,4,4,1402,0.7170171737670898,0.6651309132575989,0.6969407200813293,0.6662896275520325
fico,8,ffnn_1h_4,1,4,5,1444,0.7275334596633911,0.6653987765312195,0.7026768326759338,0.6666937470436096
fico,8,ffnn_1h_8,1,8,1,1276,0.7179732322692871,0.6653095483779907,0.6978967189788818,0.6663650274276733
fico,8,ffnn_1h_8,1,8,2,1318,0.7237093448638916,0.6654202938079834,0.6988527774810791,0.6664965748786926
fico,8,ffnn_1h_8,1,8,3,1360,0.7246654033660889,0.6656007766723633,0.6978967189788818,0.666657567024231
fico,8,ffnn_1h_8,1,8,4,1402,0.7170171737670898,0.6651309132575989,0.6969407200813293,0.6662895679473877
fico,8,ffnn_1h_8,1,8,5,1444,0.7275334596633911,0.6653987765312195,0.7026768326759338,0.6666937470436096
fico,8,ffnn_1h_16,1,16,1,1276,0.7179732322692871,0.6653095483779907,0.6978967189788818,0.6663649678230286
fico,8,ffnn_1h_16,1,16,2,1318,0.7237093448638916,0.6654202938079834,0.6988527774810791,0.6664966344833374
fico,8,ffnn_1h_16,1,16,3,1360,0.7246654033660889,0.6656007766723633,0.6978967189788818,0.666657567024231
fico,8,ffnn_1h_16,1,16,4,1402,0.7170171737670898,0.6651309132575989,0.6969407200813293,0.6662895679473877
fico,8,ffnn_1h_16,1,16,5,1444,0.7275334596633911,0.6653987765312195,0.7026768326759338,0.6666936874389648
fico,12,ffnn_1h_4,1,4,1,1276,0.7275334596633911,0.6617251038551331,0.7065009474754333,0.6625347137451172
fico,12,ffnn_1h_4,1,4,2,1318,0.7275334596633911,0.6616166234016418,0.7017208337783813,0.6624767184257507
fico,12,ffnn_1h_4,1,4,3,1360,0.7237093448638916,0.6618494987487793,0.7007648348808289,0.6626752614974976
fico,12,ffnn_1h_4,1,4,4,1402,0.7256214022636414,0.6614751815795898,0.7036328911781311,0.662415087223053
fico,12,ffnn_1h_4,1,4,5,1444,0.7237093448638916,0.6616182923316956,0.7026768326759338,0.6625087857246399
fico,12,ffnn_1h_8,1,8,1,1276,0.7275334596633911,0.6617251038551331,0.7065009474754333,0.6625347137451172
fico,12,ffnn_1h_8,1,8,2,1318,0.7275334596633911,0.6616166234016418,0.7017208337783813,0.6624767184257507
fico,12,ffnn_1h_8,1,8,3,1360,0.7237093448638916,0.6618494987487793,0.7007648348808289,0.6626752614974976
fico,12,ffnn_1h_8,1,8,4,1402,0.7256214022636414,0.6614752411842346,0.7036328911781311,0.662415087223053
