dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
iris,4,sampler,sgd,0.05,2,1318,0.9333333969116211,0.9696255326271057,0.9333333969116211,0.9492818117141724
iris,4,sampler,sgd,0.05,3,1360,0.7333333492279053,1.0074347257614136,0.9333333969116211,0.9873442053794861
iris,4,sampler,sgd,0.05,4,1402,0.9333333969116211,0.986557126045227,0.9333333969116211,0.9718261957168579
iris,4,sampler,sgd,0.05,5,1444,0.9333333969116211,0.9943862557411194,0.9333333969116211,0.9817097187042236
iris,4,sampler,sgd,0.1,1,1276,0.8000000715255737,1.003376841545105,0.8666667342185974,0.9847310185432434
iris,4,sampler,sgd,0.1,2,1318,1.0,0.9554505944252014,0.9333333969116211,0.935201108455658
iris,4,sampler,sgd,0.1,3,1360,0.7333333492279053,1.0033928155899048,0.9333333969116211,0.978567361831665
iris,4,sampler,sgd,0.1,4,1402,1.0,0.9823751449584961,1.0,0.9666823148727417
iris,4,sampler,sgd,0.1,5,1444,0.9333333969116211,0.988791823387146,0.9333333969116211,0.9734300971031189
car,4,ffnn_0layer,adam,0.001,1,1276,0.7630057334899902,1.2729206085205078,0.7687861323356628,1.2682424783706665
car,4,ffnn_0layer,adam,0.001,2,1318,0.7630057334899902,1.2729237079620361,0.7687861323356628,1.2682417631149292
car,4,ffnn_0layer,adam,0.001,3,1360,0.7630057334899902,1.2678115367889404,0.7687861323356628,1.262797474861145
car,4,ffnn_0layer,adam,0.001,4,1402,0.7630057334899902,1.2729219198226929,0.7687861323356628,1.2682400941848755
car,4,ffnn_0layer,adam,0.001,5,1444,0.7630057334899902,1.2729160785675049,0.7687861323356628,1.2682358026504517
car,4,ffnn_0layer,adam,0.005,1,1276,0.8034681677818298,1.2599890232086182,0.7919074892997742,1.2558673620224
car,4,ffnn_0layer,adam,0.005,2,1318,0.8034681677818298,1.259973406791687,0.7919074892997742,1.2558536529541016
car,4,ffnn_0layer,adam,0.005,3,1360,0.8034681677818298,1.259972095489502,0.7919074892997742,1.2558557987213135
car,4,ffnn_0layer,adam,0.005,4,1402,0.8034681677818298,1.2599743604660034,0.7919074892997742,1.2558550834655762
car,4,ffnn_0layer,adam,0.005,5,1444,0.8034681677818298,1.2599858045578003,0.7919074892997742,1.2558650970458984
