timestamp,dataset,depth,num_features,num_classes,num_samples_train,approach,test_acc_mean,test_acc_std,test_ce_mean,test_ce_std,val_acc_mean,val_acc_std,num_params
2026-04-16T15:59:31.058841,german,4,23,2,767,ffnn_0layer_bias,0.6354166865348816,0.0,0.6683206200599671,3.045231576243787e-06,0.7604166865348816,0.0,8
2026-04-16T16:00:26.416918,german,4,23,2,767,ffnn_0layer_nobias,0.6958333492279053,0.01666666120290856,0.648832380771637,0.00017025166322379664,0.7791666746139526,0.010206204828251493,8
2026-04-16T16:01:40.286725,german,4,23,2,767,sampler,0.6958333492279053,0.01666666120290856,0.648832380771637,0.00017025166322379664,0.7791666746139526,0.010206204828251493,4
2026-04-16T16:02:40.440167,german,8,23,2,767,ffnn_0layer_bias,0.643750011920929,0.012147815084656398,0.6595665097236634,0.0005755519034072313,0.7541666865348816,0.022438171938656392,16
2026-04-16T16:04:29.022739,german,8,23,2,767,ffnn_0layer_nobias,0.6395833492279053,0.010622958878586268,0.6595311164855957,0.0005283279135429674,0.768750011920929,0.02019865910512343,16
2026-04-16T16:06:57.367075,german,8,23,2,767,sampler,0.6395833492279053,0.010622958878586268,0.6595312356948853,0.0005285245213440612,0.768750011920929,0.02019865910512343,8
2026-04-16T16:09:27.880944,german,12,23,2,767,ffnn_0layer_bias,0.6145833492279053,0.011410886614707566,0.6613268375396728,0.000642392434608167,0.7354166865348816,0.008333328366287597,24
2026-04-16T16:11:39.724473,german,12,23,2,767,ffnn_0layer_nobias,0.612500011920929,0.012147815084656398,0.6613267421722412,0.00043365662588093604,0.7416666984558106,0.004166650772094726,24
2026-04-16T16:13:11.823881,german,12,23,2,767,sampler,0.612500011920929,0.012147815084656398,0.6613268375396728,0.00043371084640439364,0.7416666984558106,0.004166650772094726,12
2026-04-16T16:17:16.818933,churn,4,40,2,5634,ffnn_0layer_bias,0.7361701726913452,0.0,0.6258583664894104,0.0,0.7073863744735718,0.0,8
2026-04-16T16:21:06.614628,churn,4,40,2,5634,ffnn_0layer_nobias,0.7304964065551758,0.0,0.6153578281402587,2.3841857910156248e-08,0.7088068127632141,0.0,8
2026-04-16T16:24:48.643171,churn,4,40,2,5634,sampler,0.7304964065551758,0.0,0.6153578281402587,2.3841857910156248e-08,0.7088068127632141,0.0,4
2026-04-16T16:27:30.845851,churn,8,40,2,5634,ffnn_0layer_bias,0.7739006757736206,0.0006949061977714785,0.6085732579231262,8.308844723584618e-05,0.765056824684143,0.0006958698041470755,16
2026-04-16T16:29:37.639022,churn,8,40,2,5634,ffnn_0layer_nobias,0.7741843700408936,0.0005673885345458985,0.6086026906967164,7.59394463893073e-05,0.765625,0.0,16
2026-04-16T16:32:39.020114,churn,8,40,2,5634,sampler,0.7741843700408936,0.0005673885345458985,0.6086026906967164,7.59394463893073e-05,0.765625,0.0,8
2026-04-16T16:35:40.698216,churn,12,40,2,5634,ffnn_0layer_bias,0.7773049354553223,0.0008971011951902296,0.6067724466323853,9.92834523294254e-05,0.7684659361839294,0.0008983640541967469,24
2026-04-16T16:39:35.339226,churn,12,40,2,5634,ffnn_0layer_nobias,0.7773049473762512,0.0,0.606835949420929,0.00010437846809374075,0.768181848526001,0.0005681753158569336,24
2026-04-16T16:46:28.275788,churn,12,40,2,5634,sampler,0.7773049473762512,0.0,0.6068359375,0.00010438232916195873,0.768181848526001,0.0005681753158569336,12
2026-04-16T16:48:58.837133,sonar,4,60,2,166,ffnn_0layer_bias,0.8285714387893677,0.023328472350306783,0.6419384241104126,0.0005432945952175672,0.6857143044471741,0.023328472350306783,8
2026-04-16T16:50:20.215059,sonar,4,60,2,166,ffnn_0layer_nobias,0.9047619104385376,0.0,0.622091281414032,0.00017652390438794446,0.8571428656578064,0.0,8
2026-04-16T16:53:25.852400,sonar,4,60,2,166,sampler,0.9047619104385376,0.0,0.6220906734466553,0.00020008373744260377,0.8571428656578064,0.0,4
2026-04-16T16:54:30.738447,sonar,8,60,2,166,ffnn_0layer_bias,0.8380952477455139,0.023328472350306783,0.6202071905136108,0.0011287572436455469,0.800000011920929,0.01904761791229248,16
2026-04-16T16:55:49.053853,sonar,8,60,2,166,ffnn_0layer_nobias,0.8190476298332214,0.01904761791229248,0.6198605418205261,0.0007371253267087167,0.8095238208770752,0.0,16
2026-04-16T16:58:12.502452,sonar,8,60,2,166,sampler,0.8095238208770752,0.0,0.6199175834655761,0.0007361964146642434,0.8095238208770752,0.0,8
2026-04-16T16:58:35.981800,sonar,12,60,2,166,ffnn_0layer_bias,0.8571428656578064,0.03011692830173279,0.6144119501113892,0.0005286738363653255,0.800000011920929,0.01904761791229248,24
2026-04-16T17:00:01.644900,sonar,12,60,2,166,ffnn_0layer_nobias,0.8666666746139526,0.01904761791229248,0.614967155456543,0.0005482037528892792,0.800000011920929,0.01904761791229248,24
2026-04-16T17:01:52.725279,sonar,12,60,2,166,sampler,0.8666666746139526,0.01904761791229248,0.6147000074386597,0.00039956159062907353,0.800000011920929,0.01904761791229248,12
2026-04-16T17:05:05.269963,fico,4,23,2,8367,ffnn_0layer_bias,0.6263862252235413,0.003983295115834817,0.6807694792747497,0.00011039157787852362,0.5984703660011291,0.0021800599478947443,8
2026-04-16T17:08:43.487663,fico,4,23,2,8367,ffnn_0layer_nobias,0.7265774488449097,0.001209272431482134,0.667254638671875,4.125639417117451e-05,0.7022944331169129,0.0015533510358484448,8
2026-04-16T17:13:38.349987,fico,4,23,2,8367,sampler,0.7265774488449097,0.001209272431482134,0.667254638671875,4.125639417117451e-05,0.7022944331169129,0.0015533510358484448,4
2026-04-16T17:17:29.576044,fico,8,23,2,8367,ffnn_0layer_bias,0.7206500887870788,0.004162826096752043,0.6654053568840027,0.00019528293918515742,0.699617576599121,0.0031067204137284875,16
2026-04-16T17:22:19.762305,fico,8,23,2,8367,ffnn_0layer_nobias,0.7221797227859497,0.004038002601276715,0.6653720498085022,0.00015322126590534195,0.6988527536392212,0.0020053656698786125,16
2026-04-16T17:25:16.171874,fico,8,23,2,8367,sampler,0.7221797227859497,0.004038002601276715,0.6653720498085022,0.00015322126590534195,0.6988527536392212,0.0020053656698786125,8
2026-04-16T17:32:53.613676,fico,12,23,2,8367,ffnn_0layer_bias,0.7252389907836914,0.001968566211685062,0.6617063283920288,0.00016566549752865855,0.7024856567382812,0.0027970906855554964,24
2026-04-16T17:35:33.667388,fico,12,23,2,8367,ffnn_0layer_nobias,0.7256214022636414,0.0017101961290887774,0.6616569519042969,0.00012477658944543615,0.7030592679977417,0.001968567369594007,24
2026-04-16T17:38:08.292235,fico,12,23,2,8367,sampler,0.7256214022636414,0.0017101961290887774,0.6616569519042969,0.00012479867653216102,0.7030592679977417,0.001968567369594007,12
2026-04-16T17:41:51.397699,drybean,4,16,7,10888,ffnn_0layer_bias,0.6572687149047851,0.005521750758067194,1.9027735948562623,3.649567819777656e-05,0.6135194540023804,0.006405440841592854,8
2026-04-16T17:45:59.348291,drybean,4,16,7,10888,ffnn_0layer_nobias,0.6323054194450378,0.002045272431353974,1.90331928730011,4.816283088433666e-05,0.6136664152145386,0.002841889930628007,8
2026-04-16T17:50:10.021864,drybean,4,16,7,10888,sampler,0.6323054194450378,0.002045272431353974,1.90331928730011,4.816283088433666e-05,0.6136664152145386,0.002841889930628007,4
2026-04-16T17:56:23.677736,drybean,8,16,7,10888,ffnn_0layer_bias,0.828046977519989,0.00332916370650619,1.8784718990325928,5.583453638114904e-05,0.8189566373825073,0.0031380016095165515,16
2026-04-16T18:00:28.285169,drybean,8,16,7,10888,ffnn_0layer_nobias,0.8298091053962707,0.0021481133104624957,1.878440022468567,5.218862342230935e-05,0.8192505359649658,0.0024146450130282577,16
2026-04-16T18:07:13.635580,drybean,8,16,7,10888,sampler,0.8298091053962707,0.0021481133104624957,1.8784400463104247,5.221820837693029e-05,0.8192505359649658,0.0024146450130282577,8
2026-04-16T18:11:42.264585,drybean,12,16,7,10888,ffnn_0layer_bias,0.8707782626152039,0.0015400919189166935,1.8646501779556275,6.168246673555736e-05,0.8765613436698914,0.001675479705953249,24
2026-04-16T18:16:57.969974,drybean,12,16,7,10888,ffnn_0layer_nobias,0.8710719466209411,0.0009959309188382274,1.864610505104065,4.8676911827184646e-05,0.8775899887084961,0.0007492973034865649,24
2026-04-16T18:22:12.461208,drybean,12,16,7,10888,sampler,0.8710719466209411,0.0009959309188382274,1.864610481262207,4.868648659639373e-05,0.8775899887084961,0.0007492973034865649,12
2026-04-16T18:26:06.646421,avila,4,10,12,8344,ffnn_0layer_bias,0.4106543958187103,0.0,2.4707172393798826,5.8718773951958254e-06,0.4185043275356293,0.0,8
2026-04-16T18:29:10.102772,avila,4,10,12,8344,ffnn_0layer_nobias,0.4106543958187103,0.0,2.470585250854492,3.6520870473607266e-06,0.4185043275356293,0.0,8
2026-04-16T18:31:26.880222,avila,4,10,12,8344,sampler,0.4106543958187103,0.0,2.470585250854492,3.6520870473607266e-06,0.4185043275356293,0.0,4
2026-04-16T18:33:57.207696,avila,8,10,12,8344,ffnn_0layer_bias,0.4118808090686798,0.0015032652308709625,2.4700305461883545,3.1724187926791414e-05,0.4196548521518707,0.0014090991231514981,16
2026-04-16T18:36:22.111718,avila,8,10,12,8344,ffnn_0layer_nobias,0.4106543958187103,0.0,2.470003128051758,1.6722645826173295e-05,0.4185043275356293,0.0,16
2026-04-16T18:38:41.062738,avila,8,10,12,8344,sampler,0.4106543958187103,0.0,2.470003128051758,1.6722645826173295e-05,0.4185043275356293,0.0,8
2026-04-16T18:41:15.883430,avila,10,10,12,8344,ffnn_0layer_bias,0.4132605254650116,0.0013100911255729216,2.470002794265747,3.1709706872905456e-05,0.4209971368312836,0.001264709234729266,20
2026-04-16T18:43:45.593280,avila,10,10,12,8344,ffnn_0layer_nobias,0.4112676024436951,0.0012264132499694826,2.4699568271636965,7.50227163059414e-06,0.41907958984375,0.001150524616241455,20
2026-04-16T18:46:06.075462,avila,10,10,12,8344,sampler,0.4112676024436951,0.0012264132499694826,2.4699568271636965,7.50227163059414e-06,0.41907958984375,0.001150524616241455,10
2026-04-16T18:46:41.878148,banknote,4,4,2,1097,ffnn_0layer_bias,0.9463768243789673,0.003549984288085962,0.5796218037605285,7.843794972894156e-05,0.9459854006767273,0.005839419364929199,8
2026-04-16T18:47:11.011323,banknote,4,4,2,1097,ffnn_0layer_nobias,0.943478274345398,0.002898550033569336,0.5796415448188782,6.996679084885669e-05,0.9489051103591919,0.0,8
2026-04-16T18:47:41.252345,banknote,4,4,2,1097,sampler,0.943478274345398,0.002898550033569336,0.579641580581665,6.994063979570589e-05,0.9489051103591919,0.0,4
2026-04-16T18:49:17.297228,wine,4,11,7,5197,ffnn_0layer_bias,0.5021538317203522,0.004081993568087898,1.9128730058670045,4.4117707268259026e-05,0.5341538429260254,0.004058741498924405,8
2026-04-16T18:50:51.187627,wine,4,11,7,5197,ffnn_0layer_nobias,0.435384601354599,0.0,1.9170272827148438,8.945177862603125e-06,0.4399999976158142,0.0,8
2026-04-16T18:52:20.723078,wine,4,11,7,5197,sampler,0.435384601354599,0.0,1.917027235031128,8.993469891929573e-06,0.4399999976158142,0.0,4
2026-04-16T18:54:01.617100,wine,8,11,7,5197,ffnn_0layer_bias,0.4892307698726654,0.0041281314706114024,1.9154111385345458,1.1180382453729893e-05,0.4870769143104553,0.0007536861866828991,16
2026-04-16T18:55:36.467562,wine,8,11,7,5197,ffnn_0layer_nobias,0.48799999356269835,0.0022610699156822957,1.91541268825531,6.7390267149384374e-06,0.4867692232131958,0.0007536861866828991,16
2026-04-16T18:57:07.984316,wine,8,11,7,5197,sampler,0.48799999356269835,0.0022610699156822957,1.91541268825531,6.7390267149384374e-06,0.4867692232131958,0.0007536861866828991,8
2026-04-16T18:58:50.431570,wine,11,11,7,5197,ffnn_0layer_bias,0.5258461594581604,0.002461549639728905,1.910486626625061,3.3356505982890166e-05,0.5440000057220459,0.0030147447467315965,22
2026-04-16T19:00:32.113191,wine,11,11,7,5197,ffnn_0layer_nobias,0.5243077158927918,0.0011512746669056677,1.9104776620864867,2.0712990551552492e-05,0.5455384612083435,0.0012307643890380861,22
2026-04-16T19:02:08.495269,wine,11,11,7,5197,sampler,0.5243077158927918,0.0011512746669056677,1.9104776859283448,2.0729203236005903e-05,0.5455384612083435,0.0012307643890380861,11
