dataset,depth,approach,run_idx,seed,test_acc,test_ce,val_acc,val_ce
australian,8,ffnn_0layer_nobias,2,1318,0.9130434989929199,0.5424165725708008,0.8550724983215332,0.5852756500244141
australian,8,ffnn_0layer_nobias,3,1360,0.9130434989929199,0.5423833727836609,0.8550724983215332,0.5852579474449158
australian,8,ffnn_0layer_nobias,4,1402,0.9130434989929199,0.5424885153770447,0.8550724983215332,0.5852569937705994
australian,8,ffnn_0layer_nobias,5,1444,0.9130434989929199,0.5424315333366394,0.8550724983215332,0.5852571129798889
australian,8,sampler,1,1276,0.9130434989929199,0.5424126982688904,0.8550724983215332,0.5852705836296082
australian,8,sampler,2,1318,0.9130434989929199,0.5424020886421204,0.8550724983215332,0.5852757096290588
australian,8,sampler,3,1360,0.9130434989929199,0.5423715114593506,0.8550724983215332,0.5852579474449158
australian,8,sampler,4,1402,0.9130434989929199,0.5424980521202087,0.8550724983215332,0.5852569341659546
australian,8,sampler,5,1444,0.9130434989929199,0.5423920750617981,0.8550724983215332,0.5852570533752441
australian,12,ffnn_0layer_bias,1,1276,0.9275362491607666,0.5380546450614929,0.8260869979858398,0.5840066075325012
australian,12,ffnn_0layer_bias,2,1318,0.9275362491607666,0.5380189418792725,0.8260869979858398,0.5839610695838928
australian,12,ffnn_0layer_bias,3,1360,0.9275362491607666,0.53814297914505,0.8260869979858398,0.5839772820472717
australian,12,ffnn_0layer_bias,4,1402,0.9275362491607666,0.5379445552825928,0.8260869979858398,0.584109365940094
australian,12,ffnn_0layer_bias,5,1444,0.9275362491607666,0.5379821062088013,0.8260869979858398,0.5838682651519775
australian,12,ffnn_0layer_nobias,1,1276,0.9275362491607666,0.5378555655479431,0.8260869979858398,0.583930492401123
australian,12,ffnn_0layer_nobias,2,1318,0.9275362491607666,0.5378002524375916,0.8260869979858398,0.5839464664459229
australian,12,ffnn_0layer_nobias,3,1360,0.9275362491607666,0.5378682613372803,0.8260869979858398,0.5839019417762756
australian,12,ffnn_0layer_nobias,4,1402,0.9275362491607666,0.537734866142273,0.8260869979858398,0.5839830636978149
australian,12,ffnn_0layer_nobias,5,1444,0.9275362491607666,0.5378344655036926,0.8260869979858398,0.5838379263877869
australian,12,sampler,1,1276,0.9275362491607666,0.5378519892692566,0.8260869979858398,0.5839266777038574
australian,12,sampler,2,1318,0.9275362491607666,0.5377944707870483,0.8260869979858398,0.5839399695396423
australian,12,sampler,3,1360,0.9275362491607666,0.5378980040550232,0.8260869979858398,0.58390212059021
australian,12,sampler,4,1402,0.9275362491607666,0.5376750230789185,0.8260869979858398,0.5839829444885254
australian,12,sampler,5,1444,0.9275362491607666,0.5378119349479675,0.8260869979858398,0.5838202834129333
lymph,4,ffnn_0layer_bias,1,1276,0.8000000715255737,0.6272799372673035,0.5714285969734192,0.6740722060203552
lymph,4,ffnn_0layer_bias,2,1318,0.8000000715255737,0.6272808313369751,0.5714285969734192,0.6740718483924866
lymph,4,ffnn_0layer_bias,3,1360,0.8000000715255737,0.6272806525230408,0.5714285969734192,0.6740716695785522
lymph,4,ffnn_0layer_bias,4,1402,0.8000000715255737,0.6272814273834229,0.5714285969734192,0.6740713119506836
lymph,4,ffnn_0layer_bias,5,1444,0.8000000715255737,0.6272802948951721,0.5714285969734192,0.6740720868110657
lymph,4,ffnn_0layer_nobias,1,1276,0.6666666865348816,0.6692088842391968,0.4285714626312256,0.6706985831260681
lymph,4,ffnn_0layer_nobias,2,1318,0.6666666865348816,0.6692085266113281,0.4285714626312256,0.6706971526145935
lymph,4,ffnn_0layer_nobias,3,1360,0.6666666865348816,0.6692079305648804,0.4285714626312256,0.6706952452659607
lymph,4,ffnn_0layer_nobias,4,1402,0.6666666865348816,0.6692086458206177,0.4285714626312256,0.6706972122192383
lymph,4,ffnn_0layer_nobias,5,1444,0.6666666865348816,0.6692082285881042,0.4285714626312256,0.6707028746604919
lymph,4,sampler,1,1276,0.6666666865348816,0.6692087054252625,0.4285714626312256,0.670697808265686
lymph,4,sampler,2,1318,0.6666666865348816,0.6692092418670654,0.4285714626312256,0.6706992387771606
lymph,4,sampler,3,1360,0.6666666865348816,0.6692087650299072,0.4285714626312256,0.6706977486610413
lymph,4,sampler,4,1402,0.6666666865348816,0.6692086458206177,0.4285714626312256,0.6706967949867249
lymph,4,sampler,5,1444,0.6666666865348816,0.6692085862159729,0.4285714626312256,0.6706969141960144
lymph,8,ffnn_0layer_bias,1,1276,0.7333333492279053,0.6790973544120789,0.5,0.651229739189148
lymph,8,ffnn_0layer_bias,2,1318,0.7333333492279053,0.6790972948074341,0.5,0.6526955962181091
lymph,8,ffnn_0layer_bias,3,1360,0.7333333492279053,0.6790977120399475,0.5,0.6483222842216492
lymph,8,ffnn_0layer_bias,4,1402,0.7333333492279053,0.6790977120399475,0.5,0.6494210958480835
